City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
0,Hasaki,JP,79.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
1,Rikitea,PF,73.49,clear sky,-23.1203,-134.9692,People ThankYou
5,Golden,US,73.38,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
8,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
12,Fort Myers Beach,US,79.0,broken clouds,26.452,-81.9481,Lani Kai Island Resort
15,Jamestown,US,71.37,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
17,Los Llanos De Aridane,ES,70.12,broken clouds,28.6585,-17.9182,Valle Aridane
34,Sibu,MY,73.71,light rain,2.3,111.8167,RH HOTEL (4 Star)
36,Arraial Do Cabo,BR,71.08,clear sky,-22.9661,-42.0278,Pousada Porto Praia
42,Alice Springs,AU,71.15,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
44,Isangel,VU,74.46,overcast clouds,-19.55,169.2667,Tanna Lodge
46,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
49,Puerto Escondido,MX,79.63,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
51,Huautla,MX,72.0,overcast clouds,21.0333,-98.2833,Hotel Huautla
52,Bethel,US,78.91,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
54,Avarua,CK,77.16,overcast clouds,-21.2078,-159.775,Paradise Inn
55,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
57,Bengkulu,ID,76.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
59,Ponta Do Sol,PT,70.72,clear sky,32.6667,-17.1,Hotel do Campo
63,Kawalu,ID,72.55,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
67,Suluq,LY,78.15,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
69,Alta Floresta,BR,71.13,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
71,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
76,Shelburne,CA,73.27,clear sky,44.0787,-80.2041,The Retreat at the Farm
79,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
83,Puerto Ayora,EC,71.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
87,Vaini,TO,71.76,shower rain,-21.2,-175.2,Keleti Beach Resort
89,Sao Joao Da Barra,BR,71.73,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
90,Bang Saphan,TH,78.19,moderate rain,11.2126,99.5117,Ladawan Boutique Hotel
91,Atuona,PF,78.22,clear sky,-9.8,-139.0333,Villa Enata
96,Buchanan,LR,75.58,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
99,Faanui,PF,79.93,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Ribeira Grande,PT,70.54,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
104,El Playon,CO,77.27,light rain,7.4713,-73.2031,Hotel Mirador Del Lago
106,La Colmena,PY,72.01,overcast clouds,-25.8833,-56.8167,Fujimi Hotel
109,Jacmel,HT,75.04,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
116,Cabra,ES,73.65,scattered clouds,37.4725,-4.4421,MS Fuente Las Piedras
118,Gazojak,TM,71.65,overcast clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
122,Tabou,CI,75.97,overcast clouds,4.423,-7.3528,hotêl doufoulougou
130,Kosovska Mitrovica,XK,71.22,clear sky,42.8833,20.8667,BB
132,Itarema,BR,79.72,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
