City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Hasaki,JP,35.7333,140.8333,79.2,84,100,7.83,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,73.49,68,0,8.1,clear sky
2,Qaanaaq,GL,77.484,-69.3632,38.32,98,100,4.81,light rain
3,Pevek,RU,69.7008,170.3133,40.91,88,100,3.4,overcast clouds
4,Hastings,GB,50.8552,0.5729,64.33,80,93,9.73,overcast clouds
5,Golden,US,39.7555,-105.2211,73.38,75,75,3.0,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,35.71,100,90,3.44,mist
7,Paracatu,BR,-17.2222,-46.8747,63.46,53,0,2.35,clear sky
8,Touros,BR,-5.1989,-35.4608,76.1,84,12,12.12,few clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,51.87,72,100,3.0,overcast clouds
10,Husavik,IS,66.0449,-17.3389,49.96,85,100,4.07,overcast clouds
11,Samarai,PG,-10.6167,150.6667,80.37,87,100,13.62,overcast clouds
12,Fort Myers Beach,US,26.452,-81.9481,79.0,95,75,1.01,broken clouds
13,Busselton,AU,-33.65,115.3333,52.05,64,100,23.15,overcast clouds
14,Aklavik,CA,68.2191,-135.0107,40.48,66,100,19.22,overcast clouds
15,Jamestown,US,42.097,-79.2353,71.37,92,5,4.12,clear sky
16,Carnarvon,AU,-24.8667,113.6333,65.21,57,0,18.57,clear sky
17,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,82,75,16.11,broken clouds
18,Hermanus,ZA,-34.4187,19.2345,49.89,72,0,8.16,clear sky
19,Tuktoyaktuk,CA,69.4541,-133.0374,38.5,71,100,22.15,overcast clouds
20,Tilichiki,RU,60.4667,166.1,59.05,81,100,4.47,overcast clouds
21,Constitucion,CL,-35.3333,-72.4167,46.9,80,1,6.64,clear sky
22,Hobart,AU,-42.8794,147.3294,52.27,90,75,1.99,light rain
23,Bluff,NZ,-46.6,168.3333,46.8,62,100,8.21,overcast clouds
24,Ruidoso,US,33.3317,-105.673,83.26,32,1,12.66,clear sky
25,Cabo San Lucas,MX,22.8909,-109.9124,92.52,67,11,11.68,few clouds
26,Cockburn Town,TC,21.4612,-71.1419,80.82,75,2,18.12,clear sky
27,Kurilsk,RU,45.2333,147.8833,65.73,79,100,3.83,overcast clouds
28,Albany,US,42.6001,-73.9662,73.33,94,0,3.29,clear sky
29,Butaritari,KI,3.0707,172.7902,83.17,78,22,14.18,moderate rain
30,Castro,BR,-24.7911,-50.0119,55.74,63,95,3.65,overcast clouds
31,Ushuaia,AR,-54.8,-68.3,28.06,93,75,3.44,broken clouds
32,Camacha,PT,33.0833,-16.3333,65.62,77,75,12.66,broken clouds
33,Hithadhoo,MV,-0.6,73.0833,82.02,77,73,9.6,broken clouds
34,Sibu,MY,2.3,111.8167,73.71,94,40,5.75,light rain
35,Mataura,NZ,-46.1927,168.8643,47.48,73,100,1.14,overcast clouds
36,Arraial Do Cabo,BR,-22.9661,-42.0278,71.08,84,6,21.16,clear sky
37,Tuatapere,NZ,-46.1333,167.6833,47.82,73,100,2.77,overcast clouds
38,Saint-Francois,FR,46.4154,3.9054,63.18,93,90,6.91,overcast clouds
39,Kodinar,IN,20.7903,70.7031,81.52,84,100,8.23,overcast clouds
40,Hovd,MN,48.0056,91.6419,69.57,35,0,8.03,clear sky
41,Hilo,US,19.7297,-155.09,84.27,83,7,3.0,clear sky
42,Alice Springs,AU,-23.7,133.8833,71.15,46,40,12.66,scattered clouds
43,Provideniya,RU,64.3833,-173.3,50.11,81,40,20.13,fog
44,Isangel,VU,-19.55,169.2667,74.46,78,90,16.8,overcast clouds
45,Inhambane,MZ,-23.865,35.3833,67.42,68,97,14.74,overcast clouds
46,Porto Novo,BJ,6.4965,2.6036,78.62,83,75,8.55,broken clouds
47,Clyde River,CA,70.4692,-68.5914,44.69,69,27,2.01,scattered clouds
48,Hukuntsi,BW,-24.0,21.75,33.19,30,0,5.61,clear sky
49,Puerto Escondido,MX,15.85,-97.0667,79.63,65,90,0.0,overcast clouds
50,Terrace,CA,54.5163,-128.6035,69.42,49,100,4.12,overcast clouds
51,Huautla,MX,21.0333,-98.2833,72.0,86,87,4.79,overcast clouds
52,Bethel,US,41.3712,-73.414,78.91,85,81,3.53,broken clouds
53,Mahebourg,MU,-20.4081,57.7,66.25,75,5,10.18,clear sky
54,Avarua,CK,-21.2078,-159.775,77.16,79,100,12.15,overcast clouds
55,Cabedelo,BR,-6.9811,-34.8339,74.07,87,4,12.93,clear sky
56,Coronado,US,32.6859,-117.1831,90.95,73,20,6.91,few clouds
57,Bengkulu,ID,-3.8004,102.2655,76.44,71,87,3.94,overcast clouds
58,Kahului,US,20.8947,-156.47,80.69,84,43,14.0,scattered clouds
59,Ponta Do Sol,PT,32.6667,-17.1,70.72,72,1,4.65,clear sky
60,Kavieng,PG,-2.5744,150.7967,85.01,69,97,10.51,light rain
61,Dikson,RU,73.5069,80.5464,35.62,98,100,13.29,light rain
62,Auki,SB,-8.7676,160.7034,85.59,67,49,6.87,scattered clouds
63,Kawalu,ID,-7.3817,108.2082,72.55,87,100,1.3,overcast clouds
64,Chokurdakh,RU,70.6333,147.9167,43.2,83,100,19.08,overcast clouds
65,Mountain Home,US,43.133,-115.6912,95.74,10,0,13.15,clear sky
66,Narsaq,GL,60.9167,-46.05,46.62,82,15,2.13,few clouds
67,Suluq,LY,31.6682,20.2521,78.15,66,1,11.88,clear sky
68,Upernavik,GL,72.7868,-56.1549,39.79,97,100,19.28,light rain
69,Alta Floresta,BR,-9.8756,-56.0861,71.13,36,8,3.87,clear sky
70,Tevaitoa,PF,-16.7833,-151.5,80.13,71,14,19.66,few clouds
