City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Seinajoki,FI,2021-07-13 00:31:21,62.7945,22.8282,58.23,80,1,0.0
1,Hermanus,ZA,2021-07-13 00:27:03,-34.4187,19.2345,46.8,66,100,26.06
2,Souillac,MU,2021-07-13 00:31:22,-20.5167,57.5167,70.18,68,40,11.5
3,Acarau,BR,2021-07-13 00:31:22,-2.8856,-40.12,80.22,78,36,19.91
4,Dikson,RU,2021-07-13 00:31:22,73.5069,80.5464,33.4,86,100,18.21
5,Vaini,TO,2021-07-13 00:31:23,-21.2,-175.2,75.69,89,100,13.22
6,Mahebourg,MU,2021-07-13 00:31:23,-20.4081,57.7,70.09,68,40,11.5
7,Atuona,PF,2021-07-13 00:26:48,-9.8,-139.0333,77.4,77,18,22.86
8,Castro,BR,2021-07-13 00:31:24,-24.7911,-50.0119,52.99,73,0,2.55
9,Rikitea,PF,2021-07-13 00:31:24,-23.1203,-134.9692,73.69,75,5,13.53
10,Santa Vitoria Do Palmar,BR,2021-07-13 00:31:24,-33.5189,-53.3681,58.87,88,71,6.22
11,Saint Anthony,US,2021-07-13 00:31:25,45.0205,-93.218,81.18,47,1,1.01
12,Sydney,AU,2021-07-13 00:29:53,-33.8679,151.2073,62.8,71,0,4.0
13,Cherskiy,RU,2021-07-13 00:31:25,68.75,161.3,53.31,57,72,13.49
14,Punta Arenas,CL,2021-07-13 00:31:26,-53.15,-70.9167,35.71,80,20,29.93
15,Boa Vista,BR,2021-07-13 00:31:26,2.8197,-60.6733,82.38,74,20,0.0
16,Mar Del Plata,AR,2021-07-13 00:27:22,-38.0023,-57.5575,53.13,59,100,5.01
17,Silopi,TR,2021-07-13 00:31:26,37.2497,42.4694,82.63,19,0,4.63
18,Port Alfred,ZA,2021-07-13 00:31:27,-33.5906,26.891,53.76,61,96,31.88
19,Kladovo,RS,2021-07-13 00:31:27,44.6067,22.6119,69.19,61,0,3.98
20,Ushuaia,AR,2021-07-13 00:30:49,-54.8,-68.3,33.46,93,75,19.57
21,Kangaatsiaq,GL,2021-07-13 00:31:28,68.3065,-53.4641,41.65,77,99,7.99
22,Kinlochleven,GB,2021-07-13 00:31:28,56.7115,-4.9661,62.19,97,62,2.89
23,Bredasdorp,ZA,2021-07-13 00:31:28,-34.5322,20.0403,47.28,76,96,12.66
24,Khatanga,RU,2021-07-13 00:31:28,71.9667,102.5,46.78,51,100,12.12
25,Ribeira Grande,PT,2021-07-13 00:31:29,38.5167,-28.7,68.58,73,30,14.05
26,Jamestown,US,2021-07-13 00:31:29,42.097,-79.2353,74.52,100,75,6.91
27,Georgetown,MY,2021-07-13 00:28:14,5.4112,100.3354,80.89,90,20,1.14
28,Praia,CV,2021-07-13 00:31:30,14.9215,-23.5087,75.74,60,75,9.22
29,Mataura,NZ,2021-07-13 00:26:47,-46.1927,168.8643,44.11,88,86,2.28
30,Tasiilaq,GL,2021-07-13 00:31:30,65.6145,-37.6368,44.76,93,100,8.72
31,Shingu,JP,2021-07-13 00:31:30,33.7333,135.9833,81.59,65,6,4.07
32,Pisco,PE,2021-07-13 00:26:57,-13.7,-76.2167,64.45,82,0,14.97
